Station, Date,   Air Temperature(Celcius),  Relative Humidity,  WindSpeed  (knots), Max Wind Speed,   MAX  ,  MIN  ,Precipitation 
948700,31/12/16,19,56.8,7.9,11.1,   72.0*,  61.9*, 0.00I
948700,2/1/17,15,50.7,9.2,13,   72.0*,58.3, 0.02G
948700,3/1/17,16,53.6,8.1,15,   68.4*,  54.3*, 0.00G
948700,4/1/17,24,61.6,7.7,14,   87.3*,54, 0.00I
948700,5/1/17,24,62.3,7,13,   85.5*,  65.7*, 0.00I
948700,6/1/17,26,60.8,6.9,12,   92.1*,65.5, 0.00I
948700,7/1/17,32,54.1,12.8,19,   98.1*,64.8, 0.00I
948700,8/1/17,20,57.7,9.9,18.1,   76.1*,  64.2*, 0.00I
948700,9/1/17,19,56.3,5.8,8.9,   73.6*,  60.6*, 0.00I
948700,10/1/17,20,57,8.7,13,   77.2*,59.4, 0.00I
948700,11/1/17,18,53.3,7.9,14,   72.0*,  56.7*, 0.00I
948700,12/1/17,22,56.3,8,13,   79.2*,56.1, 0.08G
948700,13/1/17,19,54.1,11.2,18.1,   81.0*,  60.8*, 0.31G
948700,14/1/17,17,50.4,11.9,16.9,   71.1*,60.3, 0.00G
948700,15/1/17,16,50.8,5.8,12,   68.7*,  51.6*, 0.00I
948700,16/1/17,24,55.4,5.9,9.9,   85.5*,51.3, 0.00I
948700,17/1/17,24,53.4,9.9,15.9,   95.0*,  62.8*, 0.00I
948700,18/1/17,16,46.7,10,16.9,   68.0*,  50.4*, 0.00I
948700,19/1/17,19,57.2,8.9,15,   72.7*,48.4, 0.98G
948700,20/1/17,16,50.9,12.9,21,   66.2*,  58.8*, 0.03G
948700,21/1/17,17,52.5,6.7,12,   69.6*,  52.7*, 0.00G
948700,22/1/17,23,59,6,12,   85.8*,52.5, 0.00I
948700,23/1/17,25,58.3,12.2,22,   96.3*,64.6, 0.04G
948700,24/1/17,16,48.2,9.9,18.1,   69.1*,  51.8*, 0.01G
948700,25/1/17,17,50.8,9,15.9,   70.2*,50.4, 0.00G
948700,26/1/17,18,53.5,8.8,13,   69.1*,57, 0.00I
