,Date,Count
0,6/3/17,2
1,7/3/17,1
2,8/3/17,2
3,9/3/17,3
4,10/3/17,8
5,12/3/17,5
6,13/3/17,2
7,14/3/17,10
8,15/3/17,7
9,17/3/17,6
10,18/3/17,3
11,19/3/17,21
12,24/3/17,2
13,25/3/17,13
14,26/3/17,17
15,28/3/17,54
16,29/3/17,1
17,31/3/17,22
18,1/4/17,7
19,2/4/17,5
20,3/4/17,72
21,4/4/17,89
22,5/4/17,49
23,6/4/17,118
24,7/4/17,39
25,8/4/17,20
26,11/4/17,24
27,12/4/17,69
28,13/4/17,357
29,14/4/17,18
30,15/4/17,69
31,16/4/17,18
32,17/4/17,38
33,18/4/17,325
34,19/4/17,50
35,20/4/17,31
36,22/4/17,2
37,23/4/17,19
38,24/4/17,8
39,25/4/17,3
40,26/4/17,1
41,29/4/17,3
42,1/5/17,20
43,2/5/17,10
44,3/5/17,64
45,4/5/17,135
46,5/5/17,31
47,6/5/17,17
48,7/5/17,3
49,8/5/17,24
50,9/5/17,13
51,10/5/17,114
52,11/5/17,19
53,12/5/17,10
54,13/5/17,54
55,14/5/17,1
56,15/5/17,102
57,16/5/17,3
58,17/5/17,1
59,18/5/17,7
60,22/5/17,33
61,23/5/17,5
62,24/5/17,3
63,26/5/17,4
64,1/6/17,2
65,2/6/17,11
66,3/6/17,2
67,4/6/17,9
68,7/6/17,14
69,9/6/17,3
70,11/6/17,2
71,13/6/17,1
72,14/6/17,4
73,16/6/17,2
74,18/6/17,2
75,20/6/17,6
76,22/6/17,1
77,30/6/17,6
78,1/7/17,4
79,2/7/17,8
80,4/7/17,1
81,5/7/17,1
82,6/7/17,3
83,14/7/17,2
84,29/7/17,2
85,31/7/17,2
86,1/8/17,2
87,2/8/17,2
88,5/8/17,1
89,10/8/17,1
90,13/8/17,9
91,14/8/17,5
92,10/9/17,4
93,20/9/17,5
94,21/9/17,2
95,22/9/17,1
96,23/9/17,23
97,24/9/17,28
98,26/9/17,1
99,27/9/17,7
100,29/9/17,2
101,1/10/17,8
102,2/10/17,7
103,3/10/17,18
104,4/10/17,5
105,6/10/17,2
106,7/10/17,1
107,8/10/17,1
108,9/10/17,1
109,10/10/17,3
110,15/10/17,3
111,16/10/17,1
112,17/10/17,5
113,18/10/17,6
114,20/10/17,3
115,21/10/17,4
116,23/10/17,1
117,26/10/17,5
118,27/10/17,5
119,28/10/17,1
120,5/11/17,4
121,8/11/17,2
122,9/11/17,10
123,11/11/17,4
124,12/11/17,5
125,13/11/17,5
126,14/11/17,3
127,21/11/17,1
128,22/11/17,2
129,23/11/17,5
130,28/11/17,1
131,29/11/17,8
132,30/11/17,31
133,8/12/17,5
134,9/12/17,4
135,10/12/17,2
136,12/12/17,1
137,13/12/17,1
138,14/12/17,1
139,15/12/17,4
140,16/12/17,15
141,21/12/17,1
142,24/12/17,1
143,25/12/17,1
144,27/12/17,4
