,Date,Average Temperature
0,6/3/17,60.500
1,7/3/17,64.000
2,8/3/17,51.500
3,9/3/17,46.667
4,10/3/17,69.375
5,12/3/17,88.200
6,13/3/17,38.500
7,14/3/17,65.600
8,15/3/17,46.000
9,17/3/17,59.500
10,18/3/17,79.333
11,19/3/17,65.571
12,24/3/17,49.000
13,25/3/17,66.000
14,26/3/17,56.882
15,28/3/17,60.926
16,29/3/17,51.000
17,31/3/17,48.727
18,1/4/17,46.714
19,2/4/17,45.200
20,3/4/17,58.444
21,4/4/17,62.573
22,5/4/17,53.143
23,6/4/17,61.712
24,7/4/17,50.692
25,8/4/17,60.750
26,11/4/17,46.292
27,12/4/17,52.696
28,13/4/17,58.580
29,14/4/17,61.944
30,15/4/17,59.580
31,16/4/17,48.722
32,17/4/17,50.921
33,18/4/17,53.366
34,19/4/17,54.160
35,20/4/17,56.581
36,22/4/17,54.500
37,23/4/17,53.895
38,24/4/17,59.375
39,25/4/17,48.667
40,26/4/17,34.000
41,29/4/17,63.000
42,1/5/17,68.400
43,2/5/17,55.600
44,3/5/17,56.797
45,4/5/17,56.807
46,5/5/17,51.710
47,6/5/17,57.529
48,7/5/17,50.333
49,8/5/17,56.292
50,9/5/17,42.462
51,10/5/17,52.868
52,11/5/17,59.368
53,12/5/17,51.500
54,13/5/17,58.611
55,14/5/17,49.000
56,15/5/17,53.951
57,16/5/17,39.667
58,17/5/17,52.000
59,18/5/17,44.143
60,22/5/17,54.485
61,23/5/17,51.200
62,24/5/17,40.333
63,26/5/17,49.500
64,1/6/17,54.000
65,2/6/17,47.727
66,3/6/17,47.000
67,4/6/17,52.222
68,7/6/17,51.857
69,9/6/17,49.000
70,11/6/17,41.500
71,13/6/17,41.000
72,14/6/17,53.250
73,16/6/17,42.500
74,18/6/17,42.000
75,20/6/17,71.167
76,22/6/17,46.000
77,30/6/17,44.333
78,1/7/17,30.500
79,2/7/17,43.500
80,4/7/17,40.000
81,5/7/17,45.000
82,6/7/17,56.000
83,14/7/17,41.500
84,29/7/17,48.000
85,31/7/17,47.000
86,1/8/17,58.000
87,2/8/17,63.500
88,5/8/17,40.000
89,10/8/17,63.000
90,13/8/17,49.000
91,14/8/17,40.800
92,10/9/17,56.500
93,20/9/17,63.600
94,21/9/17,40.500
95,22/9/17,45.000
96,23/9/17,52.739
97,24/9/17,53.571
98,26/9/17,33.000
99,27/9/17,49.714
100,29/9/17,43.000
101,1/10/17,48.250
102,2/10/17,43.571
103,3/10/17,50.000
104,4/10/17,49.000
105,6/10/17,44.000
106,7/10/17,42.000
107,8/10/17,41.000
108,9/10/17,44.000
109,10/10/17,53.333
110,15/10/17,72.667
111,16/10/17,36.000
112,17/10/17,51.600
113,18/10/17,52.167
114,20/10/17,50.000
115,21/10/17,51.250
116,23/10/17,38.000
117,26/10/17,44.600
118,27/10/17,50.400
119,28/10/17,56.000
120,5/11/17,58.500
121,8/11/17,45.500
122,9/11/17,61.300
123,11/11/17,46.250
124,12/11/17,53.000
125,13/11/17,47.000
126,14/11/17,52.000
127,21/11/17,59.000
128,22/11/17,61.500
129,23/11/17,58.800
130,28/11/17,42.000
131,29/11/17,60.625
132,30/11/17,52.419
133,8/12/17,50.600
134,9/12/17,58.250
135,10/12/17,46.000
136,12/12/17,44.000
137,13/12/17,60.000
138,14/12/17,70.000
139,15/12/17,39.000
140,16/12/17,57.800
141,21/12/17,46.000
142,24/12/17,32.000
143,25/12/17,54.000
144,27/12/17,62.750
