,Data,Surface Temperature,Air Temperature,Relative Humidity,Max Wind Speed
0,6/3/17,59,20,52.9,21.0
1,6/3/17,62,20,52.9,21.0
2,7/3/17,64,19,51.5,20.0
3,8/3/17,55,21,51.7,13.0
4,8/3/17,48,21,51.7,13.0
5,9/3/17,44,23,53.4,11.1
6,9/3/17,55,23,53.4,11.1
7,9/3/17,41,23,53.4,11.1
8,10/3/17,43,19,60.2,12.0
9,10/3/17,42,19,60.2,12.0
10,10/3/17,48,19,60.2,12.0
11,10/3/17,55,19,60.2,12.0
12,10/3/17,73,19,60.2,12.0
13,10/3/17,80,19,60.2,12.0
14,10/3/17,105,19,60.2,12.0
15,10/3/17,109,19,60.2,12.0
16,12/3/17,68,21,58.1,11.1
17,12/3/17,71,21,58.1,11.1
18,12/3/17,98,21,58.1,11.1
19,12/3/17,105,21,58.1,11.1
20,12/3/17,99,21,58.1,11.1
21,13/3/17,35,20,62.2,15.0
22,13/3/17,42,20,62.2,15.0
23,14/3/17,48,25,58.3,13.0
24,14/3/17,52,25,58.3,13.0
25,14/3/17,55,25,58.3,13.0
26,14/3/17,65,25,58.3,13.0
27,14/3/17,67,25,58.3,13.0
28,14/3/17,68,25,58.3,13.0
29,14/3/17,72,25,58.3,13.0
30,14/3/17,75,25,58.3,13.0
31,14/3/17,75,25,58.3,13.0
32,14/3/17,79,25,58.3,13.0
33,15/3/17,44,28,58.4,18.1
34,15/3/17,43,28,58.4,18.1
35,15/3/17,43,28,58.4,18.1
36,15/3/17,45,28,58.4,18.1
37,15/3/17,48,28,58.4,18.1
38,15/3/17,49,28,58.4,18.1
39,15/3/17,50,28,58.4,18.1
40,17/3/17,56,18,51.1,15.0
41,17/3/17,50,18,51.1,15.0
42,17/3/17,58,18,51.1,15.0
43,17/3/17,59,18,51.1,15.0
44,17/3/17,60,18,51.1,15.0
45,17/3/17,74,18,51.1,15.0
46,18/3/17,37,21,52.8,11.1
47,18/3/17,80,21,52.8,11.1
48,18/3/17,121,21,52.8,11.1
49,19/3/17,55,24,55.2,11.1
50,19/3/17,54,24,55.2,11.1
51,19/3/17,56,24,55.2,11.1
52,19/3/17,51,24,55.2,11.1
53,19/3/17,44,24,55.2,11.1
54,19/3/17,55,24,55.2,11.1
55,19/3/17,50,24,55.2,11.1
56,19/3/17,54,24,55.2,11.1
57,19/3/17,58,24,55.2,11.1
58,19/3/17,55,24,55.2,11.1
59,19/3/17,60,24,55.2,11.1
60,19/3/17,59,24,55.2,11.1
61,19/3/17,58,24,55.2,11.1
62,19/3/17,60,24,55.2,11.1
63,19/3/17,66,24,55.2,11.1
64,19/3/17,70,24,55.2,11.1
65,19/3/17,79,24,55.2,11.1
66,19/3/17,83,24,55.2,11.1
67,19/3/17,91,24,55.2,11.1
68,19/3/17,113,24,55.2,11.1
69,19/3/17,106,24,55.2,11.1
70,24/3/17,48,20,58.4,11.1
71,24/3/17,50,20,58.4,11.1
72,25/3/17,57,23,61.9,15.9
73,25/3/17,54,23,61.9,15.9
74,25/3/17,49,23,61.9,15.9
75,25/3/17,49,23,61.9,15.9
76,25/3/17,49,23,61.9,15.9
77,25/3/17,52,23,61.9,15.9
78,25/3/17,65,23,61.9,15.9
79,25/3/17,59,23,61.9,15.9
80,25/3/17,62,23,61.9,15.9
81,25/3/17,75,23,61.9,15.9
82,25/3/17,77,23,61.9,15.9
83,25/3/17,111,23,61.9,15.9
84,25/3/17,99,23,61.9,15.9
85,26/3/17,50,23,60.6,26.0
86,26/3/17,44,23,60.6,26.0
87,26/3/17,44,23,60.6,26.0
88,26/3/17,73,23,60.6,26.0
89,26/3/17,48,23,60.6,26.0
90,26/3/17,48,23,60.6,26.0
91,26/3/17,48,23,60.6,26.0
92,26/3/17,49,23,60.6,26.0
93,26/3/17,53,23,60.6,26.0
94,26/3/17,54,23,60.6,26.0
95,26/3/17,54,23,60.6,26.0
96,26/3/17,55,23,60.6,26.0
97,26/3/17,58,23,60.6,26.0
98,26/3/17,62,23,60.6,26.0
99,26/3/17,68,23,60.6,26.0
100,26/3/17,70,23,60.6,26.0
101,26/3/17,89,23,60.6,26.0
102,28/3/17,46,18,50.6,13.0
103,28/3/17,54,18,50.6,13.0
104,28/3/17,48,18,50.6,13.0
105,28/3/17,46,18,50.6,13.0
106,28/3/17,45,18,50.6,13.0
107,28/3/17,46,18,50.6,13.0
108,28/3/17,46,18,50.6,13.0
109,28/3/17,46,18,50.6,13.0
110,28/3/17,51,18,50.6,13.0
111,28/3/17,55,18,50.6,13.0
112,28/3/17,50,18,50.6,13.0
113,28/3/17,49,18,50.6,13.0
114,28/3/17,50,18,50.6,13.0
115,28/3/17,51,18,50.6,13.0
116,28/3/17,50,18,50.6,13.0
117,28/3/17,50,18,50.6,13.0
118,28/3/17,51,18,50.6,13.0
119,28/3/17,51,18,50.6,13.0
120,28/3/17,52,18,50.6,13.0
121,28/3/17,52,18,50.6,13.0
122,28/3/17,52,18,50.6,13.0
123,28/3/17,52,18,50.6,13.0
124,28/3/17,54,18,50.6,13.0
125,28/3/17,53,18,50.6,13.0
126,28/3/17,54,18,50.6,13.0
127,28/3/17,54,18,50.6,13.0
128,28/3/17,55,18,50.6,13.0
129,28/3/17,55,18,50.6,13.0
130,28/3/17,56,18,50.6,13.0
131,28/3/17,57,18,50.6,13.0
132,28/3/17,57,18,50.6,13.0
133,28/3/17,58,18,50.6,13.0
134,28/3/17,59,18,50.6,13.0
135,28/3/17,60,18,50.6,13.0
136,28/3/17,60,18,50.6,13.0
137,28/3/17,62,18,50.6,13.0
138,28/3/17,62,18,50.6,13.0
139,28/3/17,62,18,50.6,13.0
140,28/3/17,64,18,50.6,13.0
141,28/3/17,63,18,50.6,13.0
142,28/3/17,63,18,50.6,13.0
143,28/3/17,71,18,50.6,13.0
144,28/3/17,73,18,50.6,13.0
145,28/3/17,74,18,50.6,13.0
146,28/3/17,76,18,50.6,13.0
147,28/3/17,80,18,50.6,13.0
148,28/3/17,80,18,50.6,13.0
149,28/3/17,81,18,50.6,13.0
150,28/3/17,81,18,50.6,13.0
151,28/3/17,82,18,50.6,13.0
152,28/3/17,86,18,50.6,13.0
153,28/3/17,107,18,50.6,13.0
154,28/3/17,108,18,50.6,13.0
155,28/3/17,90,18,50.6,13.0
156,29/3/17,51,17,49.9,21.0
157,31/3/17,38,14,45.8,9.9
158,31/3/17,42,14,45.8,9.9
159,31/3/17,38,14,45.8,9.9
160,31/3/17,42,14,45.8,9.9
161,31/3/17,44,14,45.8,9.9
162,31/3/17,44,14,45.8,9.9
163,31/3/17,44,14,45.8,9.9
164,31/3/17,45,14,45.8,9.9
165,31/3/17,45,14,45.8,9.9
166,31/3/17,48,14,45.8,9.9
167,31/3/17,47,14,45.8,9.9
168,31/3/17,48,14,45.8,9.9
169,31/3/17,50,14,45.8,9.9
170,31/3/17,51,14,45.8,9.9
171,31/3/17,53,14,45.8,9.9
172,31/3/17,52,14,45.8,9.9
173,31/3/17,53,14,45.8,9.9
174,31/3/17,54,14,45.8,9.9
175,31/3/17,55,14,45.8,9.9
176,31/3/17,56,14,45.8,9.9
177,31/3/17,61,14,45.8,9.9
178,31/3/17,62,14,45.8,9.9
179,1/4/17,39,14,45.7,15.9
180,1/4/17,43,14,45.7,15.9
181,1/4/17,51,14,45.7,15.9
182,1/4/17,45,14,45.7,15.9
183,1/4/17,46,14,45.7,15.9
184,1/4/17,50,14,45.7,15.9
185,1/4/17,53,14,45.7,15.9
186,2/4/17,40,12,43.4,15.0
187,2/4/17,46,12,43.4,15.0
188,2/4/17,41,12,43.4,15.0
189,2/4/17,47,12,43.4,15.0
190,2/4/17,52,12,43.4,15.0
191,3/4/17,46,15,47.7,13.0
192,3/4/17,42,15,47.7,13.0
193,3/4/17,39,15,47.7,13.0
194,3/4/17,41,15,47.7,13.0
195,3/4/17,43,15,47.7,13.0
196,3/4/17,45,15,47.7,13.0
197,3/4/17,43,15,47.7,13.0
198,3/4/17,43,15,47.7,13.0
199,3/4/17,43,15,47.7,13.0
200,3/4/17,44,15,47.7,13.0
201,3/4/17,43,15,47.7,13.0
202,3/4/17,46,15,47.7,13.0
203,3/4/17,44,15,47.7,13.0
204,3/4/17,47,15,47.7,13.0
205,3/4/17,44,15,47.7,13.0
206,3/4/17,44,15,47.7,13.0
207,3/4/17,45,15,47.7,13.0
208,3/4/17,45,15,47.7,13.0
209,3/4/17,46,15,47.7,13.0
210,3/4/17,46,15,47.7,13.0
211,3/4/17,37,15,47.7,13.0
212,3/4/17,46,15,47.7,13.0
213,3/4/17,47,15,47.7,13.0
214,3/4/17,47,15,47.7,13.0
215,3/4/17,48,15,47.7,13.0
216,3/4/17,49,15,47.7,13.0
217,3/4/17,49,15,47.7,13.0
218,3/4/17,49,15,47.7,13.0
219,3/4/17,50,15,47.7,13.0
220,3/4/17,50,15,47.7,13.0
221,3/4/17,50,15,47.7,13.0
222,3/4/17,60,15,47.7,13.0
223,3/4/17,50,15,47.7,13.0
224,3/4/17,51,15,47.7,13.0
225,3/4/17,52,15,47.7,13.0
226,3/4/17,53,15,47.7,13.0
227,3/4/17,54,15,47.7,13.0
228,3/4/17,54,15,47.7,13.0
229,3/4/17,55,15,47.7,13.0
230,3/4/17,55,15,47.7,13.0
231,3/4/17,40,15,47.7,13.0
232,3/4/17,63,15,47.7,13.0
233,3/4/17,58,15,47.7,13.0
234,3/4/17,59,15,47.7,13.0
235,3/4/17,59,15,47.7,13.0
236,3/4/17,61,15,47.7,13.0
237,3/4/17,61,15,47.7,13.0
238,3/4/17,60,15,47.7,13.0
239,3/4/17,96,15,47.7,13.0
240,3/4/17,62,15,47.7,13.0
241,3/4/17,97,15,47.7,13.0
242,3/4/17,64,15,47.7,13.0
243,3/4/17,66,15,47.7,13.0
244,3/4/17,65,15,47.7,13.0
245,3/4/17,65,15,47.7,13.0
246,3/4/17,66,15,47.7,13.0
247,3/4/17,43,15,47.7,13.0
248,3/4/17,72,15,47.7,13.0
249,3/4/17,72,15,47.7,13.0
250,3/4/17,77,15,47.7,13.0
251,3/4/17,76,15,47.7,13.0
252,3/4/17,45,15,47.7,13.0
253,3/4/17,78,15,47.7,13.0
254,3/4/17,82,15,47.7,13.0
255,3/4/17,86,15,47.7,13.0
256,3/4/17,62,15,47.7,13.0
257,3/4/17,93,15,47.7,13.0
258,3/4/17,90,15,47.7,13.0
259,3/4/17,115,15,47.7,13.0
260,3/4/17,98,15,47.7,13.0
261,3/4/17,89,15,47.7,13.0
262,3/4/17,103,15,47.7,13.0
263,4/4/17,43,16,47.5,12.0
264,4/4/17,50,16,47.5,12.0
265,4/4/17,53,16,47.5,12.0
266,4/4/17,40,16,47.5,12.0
267,4/4/17,49,16,47.5,12.0
268,4/4/17,48,16,47.5,12.0
269,4/4/17,40,16,47.5,12.0
270,4/4/17,50,16,47.5,12.0
271,4/4/17,35,16,47.5,12.0
272,4/4/17,58,16,47.5,12.0
273,4/4/17,43,16,47.5,12.0
274,4/4/17,68,16,47.5,12.0
275,4/4/17,51,16,47.5,12.0
276,4/4/17,71,16,47.5,12.0
277,4/4/17,62,16,47.5,12.0
278,4/4/17,46,16,47.5,12.0
279,4/4/17,43,16,47.5,12.0
280,4/4/17,54,16,47.5,12.0
281,4/4/17,45,16,47.5,12.0
282,4/4/17,50,16,47.5,12.0
283,4/4/17,51,16,47.5,12.0
284,4/4/17,48,16,47.5,12.0
285,4/4/17,50,16,47.5,12.0
286,4/4/17,54,16,47.5,12.0
287,4/4/17,53,16,47.5,12.0
288,4/4/17,46,16,47.5,12.0
289,4/4/17,57,16,47.5,12.0
290,4/4/17,52,16,47.5,12.0
291,4/4/17,54,16,47.5,12.0
292,4/4/17,53,16,47.5,12.0
293,4/4/17,49,16,47.5,12.0
294,4/4/17,38,16,47.5,12.0
295,4/4/17,55,16,47.5,12.0
296,4/4/17,49,16,47.5,12.0
297,4/4/17,50,16,47.5,12.0
298,4/4/17,55,16,47.5,12.0
299,4/4/17,51,16,47.5,12.0
300,4/4/17,52,16,47.5,12.0
301,4/4/17,52,16,47.5,12.0
302,4/4/17,67,16,47.5,12.0
303,4/4/17,58,16,47.5,12.0
304,4/4/17,52,16,47.5,12.0
305,4/4/17,58,16,47.5,12.0
306,4/4/17,54,16,47.5,12.0
307,4/4/17,53,16,47.5,12.0
308,4/4/17,54,16,47.5,12.0
309,4/4/17,54,16,47.5,12.0
310,4/4/17,54,16,47.5,12.0
311,4/4/17,62,16,47.5,12.0
312,4/4/17,62,16,47.5,12.0
313,4/4/17,62,16,47.5,12.0
314,4/4/17,55,16,47.5,12.0
315,4/4/17,55,16,47.5,12.0
316,4/4/17,57,16,47.5,12.0
317,4/4/17,57,16,47.5,12.0
318,4/4/17,58,16,47.5,12.0
319,4/4/17,66,16,47.5,12.0
320,4/4/17,66,16,47.5,12.0
321,4/4/17,59,16,47.5,12.0
322,4/4/17,61,16,47.5,12.0
323,4/4/17,61,16,47.5,12.0
324,4/4/17,61,16,47.5,12.0
325,4/4/17,62,16,47.5,12.0
326,4/4/17,92,16,47.5,12.0
327,4/4/17,63,16,47.5,12.0
328,4/4/17,64,16,47.5,12.0
329,4/4/17,64,16,47.5,12.0
330,4/4/17,63,16,47.5,12.0
331,4/4/17,65,16,47.5,12.0
332,4/4/17,67,16,47.5,12.0
333,4/4/17,66,16,47.5,12.0
334,4/4/17,76,16,47.5,12.0
335,4/4/17,81,16,47.5,12.0
336,4/4/17,44,16,47.5,12.0
337,4/4/17,72,16,47.5,12.0
338,4/4/17,78,16,47.5,12.0
339,4/4/17,78,16,47.5,12.0
340,4/4/17,79,16,47.5,12.0
341,4/4/17,82,16,47.5,12.0
342,4/4/17,64,16,47.5,12.0
343,4/4/17,120,16,47.5,12.0
344,4/4/17,107,16,47.5,12.0
345,4/4/17,95,16,47.5,12.0
346,4/4/17,113,16,47.5,12.0
347,4/4/17,123,16,47.5,12.0
348,4/4/17,118,16,47.5,12.0
349,4/4/17,120,16,47.5,12.0
350,4/4/17,101,16,47.5,12.0
351,4/4/17,98,16,47.5,12.0
352,5/4/17,38,17,47.2,13.0
353,5/4/17,40,17,47.2,13.0
354,5/4/17,35,17,47.2,13.0
355,5/4/17,47,17,47.2,13.0
356,5/4/17,42,17,47.2,13.0
357,5/4/17,53,17,47.2,13.0
358,5/4/17,36,17,47.2,13.0
359,5/4/17,50,17,47.2,13.0
360,5/4/17,45,17,47.2,13.0
361,5/4/17,44,17,47.2,13.0
362,5/4/17,44,17,47.2,13.0
363,5/4/17,45,17,47.2,13.0
364,5/4/17,46,17,47.2,13.0
365,5/4/17,37,17,47.2,13.0
366,5/4/17,45,17,47.2,13.0
367,5/4/17,49,17,47.2,13.0
368,5/4/17,48,17,47.2,13.0
369,5/4/17,54,17,47.2,13.0
370,5/4/17,64,17,47.2,13.0
371,5/4/17,39,17,47.2,13.0
372,5/4/17,53,17,47.2,13.0
373,5/4/17,52,17,47.2,13.0
374,5/4/17,39,17,47.2,13.0
375,5/4/17,39,17,47.2,13.0
376,5/4/17,39,17,47.2,13.0
377,5/4/17,54,17,47.2,13.0
378,5/4/17,40,17,47.2,13.0
379,5/4/17,62,17,47.2,13.0
380,5/4/17,56,17,47.2,13.0
381,5/4/17,64,17,47.2,13.0
382,5/4/17,88,17,47.2,13.0
383,5/4/17,42,17,47.2,13.0
384,5/4/17,63,17,47.2,13.0
385,5/4/17,65,17,47.2,13.0
386,5/4/17,65,17,47.2,13.0
387,5/4/17,64,17,47.2,13.0
388,5/4/17,66,17,47.2,13.0
389,5/4/17,44,17,47.2,13.0
390,5/4/17,83,17,47.2,13.0
391,5/4/17,72,17,47.2,13.0
392,5/4/17,76,17,47.2,13.0
393,5/4/17,76,17,47.2,13.0
394,5/4/17,45,17,47.2,13.0
395,5/4/17,58,17,47.2,13.0
396,5/4/17,47,17,47.2,13.0
397,5/4/17,49,17,47.2,13.0
398,5/4/17,55,17,47.2,13.0
399,5/4/17,55,17,47.2,13.0
400,5/4/17,92,17,47.2,13.0
401,6/4/17,53,19,44.2,15.9
402,6/4/17,47,19,44.2,15.9
403,6/4/17,53,19,44.2,15.9
404,6/4/17,50,19,44.2,15.9
405,6/4/17,47,19,44.2,15.9
406,6/4/17,39,19,44.2,15.9
