,Date,Air Temperature,Surface Temperature,Confidence
0,6/3/17,20,59,85
1,6/3/17,20,62,87
2,7/3/17,19,64,88
3,9/3/17,23,41,86
4,10/3/17,19,55,81
5,10/3/17,19,73,94
6,10/3/17,19,80,97
7,12/3/17,21,68,80
8,12/3/17,21,71,84
9,12/3/17,21,98,85
10,12/3/17,21,105,94
11,14/3/17,25,55,81
12,14/3/17,25,65,89
13,14/3/17,25,67,90
14,14/3/17,25,68,90
15,14/3/17,25,72,93
16,14/3/17,25,75,94
17,14/3/17,25,75,95
18,14/3/17,25,79,96
19,17/3/17,18,59,84
20,17/3/17,18,60,86
21,17/3/17,18,74,94
22,18/3/17,21,80,97
23,19/3/17,24,58,84
24,19/3/17,24,60,85
25,19/3/17,24,66,90
26,19/3/17,24,70,92
27,19/3/17,24,79,96
28,19/3/17,24,83,98
29,25/3/17,23,65,82
30,25/3/17,23,59,85
31,25/3/17,23,62,87
32,25/3/17,23,75,95
33,25/3/17,23,77,95
34,26/3/17,23,53,80
35,26/3/17,23,54,81
36,26/3/17,23,54,81
37,26/3/17,23,55,82
38,26/3/17,23,58,84
39,26/3/17,23,62,87
40,26/3/17,23,68,91
41,26/3/17,23,70,92
42,28/3/17,18,54,80
43,28/3/17,18,53,80
44,28/3/17,18,54,81
45,28/3/17,18,54,81
46,28/3/17,18,55,81
47,28/3/17,18,55,82
48,28/3/17,18,56,83
49,28/3/17,18,57,83
50,28/3/17,18,57,83
51,28/3/17,18,58,84
52,28/3/17,18,59,85
53,28/3/17,18,60,85
54,28/3/17,18,60,86
55,28/3/17,18,62,87
56,28/3/17,18,62,87
57,28/3/17,18,62,87
58,28/3/17,18,64,88
59,28/3/17,18,63,88
60,28/3/17,18,63,88
61,28/3/17,18,71,92
62,28/3/17,18,73,93
63,28/3/17,18,74,94
64,28/3/17,18,76,95
65,28/3/17,18,80,97
66,28/3/17,18,80,97
67,28/3/17,18,81,97
68,28/3/17,18,81,97
69,28/3/17,18,82,98
70,28/3/17,18,86,99
71,31/3/17,14,53,80
72,31/3/17,14,54,81
73,31/3/17,14,55,82
74,31/3/17,14,56,82
75,31/3/17,14,61,86
76,31/3/17,14,62,87
77,3/4/17,15,53,80
78,3/4/17,15,54,81
79,3/4/17,15,54,81
80,3/4/17,15,55,82
81,3/4/17,15,55,82
82,3/4/17,15,40,83
83,3/4/17,15,63,83
84,3/4/17,15,58,84
85,3/4/17,15,59,85
86,3/4/17,15,59,85
87,3/4/17,15,61,85
88,3/4/17,15,61,86
89,3/4/17,15,60,86
90,3/4/17,15,96,87
91,3/4/17,15,62,87
92,3/4/17,15,97,87
93,3/4/17,15,64,88
94,3/4/17,15,66,89
95,3/4/17,15,65,89
96,3/4/17,15,65,89
97,3/4/17,15,66,90
98,3/4/17,15,43,91
99,3/4/17,15,72,93
100,3/4/17,15,72,93
101,3/4/17,15,77,95
102,3/4/17,15,76,95
103,3/4/17,15,45,96
104,3/4/17,15,78,96
105,3/4/17,15,82,98
106,3/4/17,15,86,99
107,4/4/17,16,58,80
108,4/4/17,16,54,80
109,4/4/17,16,53,80
110,4/4/17,16,54,81
111,4/4/17,16,54,81
112,4/4/17,16,54,81
113,4/4/17,16,62,82
114,4/4/17,16,62,82
115,4/4/17,16,62,82
116,4/4/17,16,55,82
117,4/4/17,16,55,82
118,4/4/17,16,57,83
119,4/4/17,16,57,84
120,4/4/17,16,58,84
121,4/4/17,16,66,85
122,4/4/17,16,66,85
123,4/4/17,16,59,85
124,4/4/17,16,61,85
125,4/4/17,16,61,86
126,4/4/17,16,61,86
127,4/4/17,16,62,87
128,4/4/17,16,92,87
129,4/4/17,16,63,88
130,4/4/17,16,64,88
131,4/4/17,16,64,88
132,4/4/17,16,63,88
133,4/4/17,16,65,89
134,4/4/17,16,67,90
135,4/4/17,16,66,90
136,4/4/17,16,76,90
137,4/4/17,16,81,92
138,4/4/17,16,44,93
139,4/4/17,16,72,93
140,4/4/17,16,78,96
141,4/4/17,16,78,96
142,4/4/17,16,79,97
143,4/4/17,16,82,98
144,5/4/17,17,39,80
145,5/4/17,17,39,81
146,5/4/17,17,39,81
147,5/4/17,17,54,81
148,5/4/17,17,40,82
149,5/4/17,17,62,82
150,5/4/17,17,56,83
151,5/4/17,17,64,83
152,5/4/17,17,88,87
153,5/4/17,17,42,88
154,5/4/17,17,63,88
155,5/4/17,17,65,89
156,5/4/17,17,65,89
157,5/4/17,17,64,89
158,5/4/17,17,66,90
159,5/4/17,17,44,93
160,5/4/17,17,83,93
161,5/4/17,17,72,93
162,5/4/17,17,76,95
163,5/4/17,17,76,95
164,5/4/17,17,45,98
165,6/4/17,19,53,80
166,6/4/17,19,54,81
167,6/4/17,19,71,81
168,6/4/17,19,60,81
169,6/4/17,19,61,81
170,6/4/17,19,57,81
171,6/4/17,19,56,82
172,6/4/17,19,57,83
173,6/4/17,19,64,83
174,6/4/17,19,56,83
175,6/4/17,19,63,83
176,6/4/17,19,78,83
177,6/4/17,19,65,84
178,6/4/17,19,58,84
179,6/4/17,19,57,84
180,6/4/17,19,60,85
181,6/4/17,19,60,85
182,6/4/17,19,59,85
183,6/4/17,19,60,85
184,6/4/17,19,60,86
185,6/4/17,19,68,86
186,6/4/17,19,72,86
187,6/4/17,19,62,87
188,6/4/17,19,62,87
189,6/4/17,19,62,87
190,6/4/17,19,62,87
191,6/4/17,19,65,88
192,6/4/17,19,65,89
193,6/4/17,19,65,89
194,6/4/17,19,64,89
195,6/4/17,19,65,89
196,6/4/17,19,76,90
197,6/4/17,19,67,90
198,6/4/17,19,66,90
199,6/4/17,19,67,90
200,6/4/17,19,69,91
201,6/4/17,19,68,91
202,6/4/17,19,69,92
203,6/4/17,19,70,92
204,6/4/17,19,71,92
205,6/4/17,19,72,93
206,6/4/17,19,96,94
207,6/4/17,19,104,94
208,6/4/17,19,86,94
209,6/4/17,19,89,94
210,6/4/17,19,77,96
211,6/4/17,19,45,97
212,6/4/17,19,81,97
213,6/4/17,19,85,99
214,7/4/17,21,39,80
215,7/4/17,21,54,80
216,7/4/17,21,53,80
217,7/4/17,21,54,81
218,7/4/17,21,41,85
219,7/4/17,21,41,86
220,7/4/17,21,41,86
221,7/4/17,21,42,89
222,7/4/17,21,43,92
223,7/4/17,21,70,92
224,7/4/17,21,70,92
225,7/4/17,21,49,94
226,7/4/17,21,76,95
227,7/4/17,21,78,96
228,7/4/17,21,45,97
229,8/4/17,19,59,80
230,8/4/17,19,54,80
231,8/4/17,19,53,80
232,8/4/17,19,58,80
233,8/4/17,19,66,90
234,8/4/17,19,69,91
235,8/4/17,19,83,98
236,8/4/17,19,85,99
237,11/4/17,14,54,81
238,11/4/17,14,58,84
