,Latitude,Longitude,Confidence,Surface Temperature (Celcius)
0,-37.8062,143.3598,77,65
1,-37.8973,143.4754,82,65
2,-37.5816,148.5862,84,65
3,-37.861999999999995,144.175,87,65
4,-37.46,148.102,88,65
5,-37.7746,148.3673,88,65
6,-38.3998,147.064,89,65
7,-38.4792,146.3081,89,65
8,-36.5661,142.2956,89,65
9,-35.4666,142.0749,89,65
10,-36.7218,141.6411,89,65
11,-36.4143,143.27200000000002,89,65
12,-37.876,143.7804,89,65
13,-36.2618,141.8783,89,65
14,-37.0959,143.8206,89,65
15,-34.9023,142.0557,89,65
16,-36.73,143.935,89,65
17,-36.0295,143.6409,89,65
18,-38.1561,143.7846,89,65
19,-35.7642,143.3321,89,65
20,-36.1441,145.2221,89,65
21,-37.88,143.7233,89,65
22,-36.9902,141.879,89,65
23,-37.745,142.993,89,65
24,-34.3943,141.7567,89,65
25,-37.4471,147.6331,89,65
26,-37.4449,147.6594,89,65
27,-35.4255,143.6306,89,65
28,-36.1556,141.5904,89,65
29,-35.7647,142.0858,89,65
30,-34.3654,141.543,89,65
31,-37.330999999999996,143.122,90,65
32,-37.641999999999996,149.263,100,65
33,-37.446,148.102,100,65
34,-37.396,148.086,100,65
35,-37.444,148.101,73,66
36,-37.7966,142.3196,76,66
37,-35.9326,141.958,78,66
38,-36.1559,141.8102,80,66
39,-38.0423,146.4048,84,66
40,-36.5023,143.6038,85,66
41,-36.111,145.124,85,66
42,-35.4533,143.2029,85,66
43,-36.5116,144.562,89,66
44,-37.4843,143.0592,89,66
45,-37.2609,141.7999,89,66
46,-35.8071,142.7318,89,66
47,-37.7446,143.4085,89,66
48,-37.624,149.314,90,66
49,-36.7032,144.0992,90,66
50,-37.6267,142.9993,90,66
51,-36.6828,144.784,90,66
52,-35.1949,141.0622,90,66
53,-37.8185,142.5609,90,66
54,-36.1462,145.2096,90,66
55,-36.8867,142.1873,90,66
56,-36.5399,144.678,90,66
57,-36.7165,142.6155,90,66
58,-36.6384,142.4075,90,66
59,-37.7835,148.4138,90,66
60,-36.1615,141.8728,90,66
61,-35.7657,142.0906,90,66
62,-37.4523,147.0175,90,66
63,-36.883,142.1637,79,67
64,-35.543,143.316,86,67
65,-36.4325,144.3142,90,67
66,-38.0372,146.0616,90,67
67,-36.2911,141.1664,90,67
68,-36.3435,141.5513,90,67
69,-36.094,145.7646,90,67
70,-36.1303,146.3606,90,67
71,-36.7101,142.3865,90,67
72,-37.7756,143.1388,90,67
73,-37.1349,141.9491,90,67
74,-36.429,141.5759,90,67
75,-36.8835,142.2098,90,67
76,-36.7903,141.618,90,67
77,-36.782,141.8851,90,67
78,-36.2857,141.3467,90,67
79,-36.5532,142.5349,90,67
80,-37.5788,148.592,90,67
81,-36.0387,145.6787,90,67
82,-35.4033,143.267,90,67
83,-34.357,141.5361,90,67
84,-36.098,143.74,92,67
85,-36.6281,142.4349,64,68
86,-36.7101,142.981,77,68
87,-37.966,145.05100000000002,78,68
88,-37.0055,148.1582,80,68
89,-37.8323,147.2232,84,68
90,-37.5814,148.5777,86,68
91,-35.6871,143.5235,90,68
92,-36.5568,144.0538,90,68
93,-36.9939,148.2244,90,68
94,-37.247,141.278,91,68
95,-36.3774,143.7079,91,68
96,-36.7801,142.7151,91,68
97,-36.7746,146.6642,91,68
98,-36.4168,141.6939,91,68
99,-35.6138,143.8666,91,68
100,-36.5061,144.5675,91,68
101,-36.3635,142.2809,91,68
