,Latitude,Longitude,Surface Temperature (kelvin),Datetime,Power,Confidence,Date,Surface Temperature (Celcius)
0,-37.885999999999996,147.207,302.0,2017-07-02T04:28:42,10.7,50,2/7/17,28
1,-37.885999999999996,147.207,302.0,2017-07-02T04:28:42,10.7,50,2/7/17,28
2,-37.062,141.373,303.1,2017-07-01T13:11:41,16.1,53,1/7/17,29
3,-36.943000000000005,143.286,302.7,2017-11-11T15:08:00,18.8,51,11/11/17,29
4,-37.062,141.373,303.1,2017-07-01T13:11:41,16.1,53,1/7/17,29
5,-37.466,148.1,302.2,2017-10-02T23:44:31,10.9,50,2/10/17,29
6,-37.38,149.334,304.5,2017-11-30T15:38:32,14.1,61,30/11/17,31
7,-37.227,141.14600000000002,305.1,2017-10-03T01:22:44,41.2,54,3/10/17,31
8,-36.779,146.108,305.3,2017-07-01T03:46:08,25.7,61,1/7/17,32
9,-35.646,142.282,305.6,2017-12-24T13:12:01,11.8,65,24/12/17,32
10,-36.779,146.108,305.3,2017-07-01T03:46:08,25.7,61,1/7/17,32
11,-37.598,149.29,305.4,2017-11-30T12:22:15,21.4,64,30/11/17,32
12,-37.624,149.332,306.8,2017-12-16T15:38:39,20.8,69,16/12/17,33
13,-37.461,148.109,306.8,2017-10-03T15:01:44,14.5,69,3/10/17,33
14,-37.602,149.295,307.1,2017-11-30T12:22:15,24.8,62,30/11/17,33
15,-37.086999999999996,145.37,306.7,2017-09-26T03:52:14,17.5,64,26/9/17,33
16,-36.5511,146.7819,307.6,2017-04-26T13:26:10,18.7,56,26/4/17,34
17,-37.453,148.118,307.4,2017-09-24T15:07:47,10.9,71,24/9/17,34
18,-37.561,148.032,307.8,2017-09-24T15:07:49,11.1,73,24/9/17,34
19,-37.463,148.109,307.2,2017-10-01T15:13:56,10.9,62,1/10/17,34
20,-36.984,148.25,308.6,2017-09-23T04:59:18,40.9,50,23/9/17,35
21,-35.4407,142.3644,308.8,2017-04-12T13:09:20,17.6,57,12/4/17,35
22,-37.227,141.151,308.4,2017-10-03T03:58:28,28.1,59,3/10/17,35
23,-38.3499,147.033,308.5,2017-04-05T13:10:10,19.0,61,5/4/17,35
24,-36.0933,141.7154,308.8,2017-04-04T15:30:40,19.7,63,4/4/17,35
25,-37.0316,148.1519,308.6,2017-03-13T12:57:00,13.7,52,13/3/17,35
26,-37.58,149.33100000000002,309.0,2017-11-30T15:38:35,18.4,69,30/11/17,35
27,-37.758,148.721,308.8,2017-09-24T15:07:50,11.2,76,24/9/17,35
28,-37.375,148.063,309.1,2017-09-24T13:30:09,23.4,59,24/9/17,35
29,-35.6961,143.1935,308.5,2017-04-07T12:53:40,16.6,61,7/4/17,35
30,-36.1,143.77200000000002,309.1,2017-10-21T01:09:54,28.7,65,21/10/17,35
31,-37.3314,149.1283,309.1,2017-04-07T12:52:10,15.8,65,7/4/17,35
32,-37.538000000000004,148.895,308.4,2017-09-24T15:07:46,11.6,74,24/9/17,35
33,-37.067,141.379,309.8,2017-07-02T04:29:10,12.6,69,2/7/17,36
34,-36.273,146.155,309.3,2017-12-08T13:11:44,11.5,77,8/12/17,36
35,-37.658,149.339,309.8,2017-12-15T13:17:17,17.3,78,15/12/17,36
36,-35.325,143.497,309.2,2017-10-26T13:30:31,14.3,77,26/10/17,36
37,-37.461,148.10299999999998,309.2,2017-10-01T13:36:02,39.3,77,1/10/17,36
38,-37.288000000000004,144.39,309.9,2017-10-16T23:56:43,22.2,62,16/10/17,36
39,-36.6396,146.8973,309.5,2017-05-22T15:30:20,19.4,66,22/5/17,36
40,-37.6435,146.1417,309.5,2017-04-05T13:02:40,19.7,66,5/4/17,36
41,-37.347,148.019,309.3,2017-09-23T04:59:13,37.0,61,23/9/17,36
42,-35.4309,142.3626,309.6,2017-04-12T13:13:10,18.6,67,12/4/17,36
43,-37.067,141.379,309.8,2017-07-02T04:29:10,12.6,69,2/7/17,36
44,-37.236,141.17600000000002,310.2,2017-10-03T03:58:28,35.1,68,3/10/17,37
45,-38.3483,147.0446,310.3,2017-04-05T13:02:50,20.4,70,5/4/17,37
46,-36.1141,141.6787,310.8,2017-04-03T13:20:00,20.5,72,3/4/17,37
47,-36.941,143.268,310.5,2017-11-11T13:30:08,11.6,80,11/11/17,37
48,-37.497,147.266,310.6,2017-09-23T23:50:45,21.3,70,23/9/17,37
49,-37.554,148.07299999999998,310.9,2017-09-23T03:21:19,29.2,63,23/9/17,37
50,-36.995,148.268,310.5,2017-09-23T03:21:28,41.3,56,23/9/17,37
51,-37.4313,147.0343,310.6,2017-03-18T13:16:50,15.4,64,18/3/17,37
52,-37.45,148.097,310.5,2017-09-29T04:22:41,11.9,70,29/9/17,37
53,-37.986999999999995,144.005,311.2,2017-12-10T00:57:59,10.4,50,10/12/17,38
54,-35.708,143.7987,311.6,2017-05-13T04:38:40,12.5,50,13/5/17,38
55,-36.0959,145.6233,311.8,2017-05-04T04:45:00,11.5,50,4/5/17,38
56,-36.7194,143.5593,311.7,2017-04-16T04:57:20,14.8,50,16/4/17,38
57,-38.3553,147.0231,311.7,2017-04-05T03:40:30,12.2,50,5/4/17,38
58,-36.5963,144.0066,311.8,2017-05-15T04:32:50,12.3,51,15/5/17,38
59,-36.0744,146.688,311.9,2017-05-08T04:20:10,13.2,51,8/5/17,38
60,-37.8937,147.1785,311.8,2017-04-15T04:14:20,14.2,51,15/4/17,38
